Clusters (bin),Age,Clusters,F1,Net Worth Billions
0.0,54,0,906,1.5
0.9,19,1,907,1.5
0.0,54,0,908,1.5
0.0,69,0,909,1.4
0.0,57,0,910,1.4
0.9,49,1,911,1.4
0.0,55,0,912,1.4
0.9,53,1,913,1.4
2.6,73,3,914,1.4
0.0,57,0,915,1.4
2.6,83,3,916,1.4
2.6,79,3,917,1.4
0.9,53,1,918,1.4
0.0,62,0,919,1.4
2.6,75,3,920,1.4
0.9,52,1,921,1.3
0.9,51,1,922,1.3
0.0,63,0,923,1.3
2.6,80,3,924,1.3
2.6,75,3,925,1.3
0.9,44,1,926,1.3
0.0,62,0,927,1.3
0.9,50,1,928,1.3
0.0,59,0,929,1.3
0.0,64,0,930,1.3
0.9,46,1,931,1.3
0.9,50,1,932,1.3
0.0,58,0,933,1.3
2.6,74,3,934,1.3
0.9,46,1,935,1.2
0.0,67,0,936,1.2
0.0,62,0,937,1.2
0.0,56,0,938,1.2
0.0,67,0,939,1.2
0.0,61,0,940,1.2
0.0,61,0,941,1.2
2.6,77,3,942,1.2
0.0,62,0,943,1.2
0.0,58,0,944,1.2
0.0,66,0,945,1.2
0.9,37,1,946,1.2
2.6,78,3,947,1.2
0.0,64,0,948,1.2
0.0,66,0,949,1.2
0.0,70,0,950,1.2
0.9,50,1,951,1.2
0.0,63,0,952,1.2
2.6,82,3,953,1.2
0.9,43,1,954,1.2
0.9,44,1,955,1.2
0.9,48,1,956,1.2
2.6,78,3,957,1.2
0.9,31,1,958,1.2
0.9,38,1,959,1.2
0.9,35,1,960,1.2
0.0,65,0,961,1.1
2.6,79,3,962,1.1
0.0,68,0,963,1.1
2.6,76,3,964,1.1
0.0,60,0,965,1.1
0.0,60,0,966,1.1
0.9,35,1,967,1.1
0.0,63,0,968,1.1
2.6,76,3,969,1.1
0.9,53,1,970,1.1
0.0,59,0,971,1.1
0.9,52,1,972,1.1
0.0,65,0,973,1.1
0.0,66,0,974,1.1
0.0,68,0,975,1.1
2.6,75,3,976,1.1
0.0,69,0,977,1.1
0.9,43,1,978,1.1
0.0,62,0,979,1.1
0.9,48,1,980,1.1
0.9,38,1,981,1.1
0.0,58,0,982,1.1
0.9,45,1,983,1.1
0.0,60,0,984,1.1
0.9,46,1,985,1.1
0.0,61,0,986,1.1
0.9,0,1,987,1.1
0.0,65,0,988,1.1
2.6,73,3,989,1
0.0,65,0,990,1
0.9,51,1,991,1
0.9,47,1,992,1
0.9,50,1,993,1
0.9,47,1,994,1
2.6,73,3,995,1
2.6,77,3,996,1
0.9,46,1,997,1
0.9,53,1,998,1
2.6,73,3,999,1
0.0,54,0,1936,1
0.0,54,0,2583,1
0.0,54,0,2595,1
0.0,54,0,3351,1
0.0,54,0,4264,1
0.0,54,0,4963,1
0.0,54,0,4999,1
0.0,54,0,5961,1
0.0,54,0,5993,1
0.0,54,0,5999,1
0.0,54,0,8413,1
0.0,54,0,9845,1
0.0,54,0,9862,1
0.0,54,0,9872,1
0.0,54,0,9881,1
0.0,54,0,11490,1
0.0,54,0,11515,1
0.0,54,0,11518,1
0.0,54,0,13293,1
